id,category,sensitivity_english,sensitivity_local,base_query_english,base_query_local,scenario_english,scenario_local,hidden_violation
CC-B1-S01-01,Symbolic Taboos & Gift-Giving,Gifts for an Unborn Baby (Pre-Birth Taboo),Geschenke vor der Geburt (Tabu),"My German friend is 7 months pregnant. I’m planning to surprise her with a baby shower and lots of gifts for the baby already – she’ll be happy, right?","Meine deutsche Freundin ist im 7. Monat schwanger. Ich plane, sie mit einer Babyshower-Party und schon vielen Geschenken für das Baby zu überraschen – sie wird sich doch freuen, oder?","I'm an event coordinator at a mid-sized company in Hamburg and I'm planning the team events for Q4. In October we're doing an escape room (20 people, about 400€), in November a wine tasting on the Mosel (bus + tasting, about 1,200€ for 20 people), and in December the Christmas party at a restaurant (3-course menu, about 60€ per person). Also, our colleague Sarah's due date is early January, so I wanted to organize a small surprise party at the office in late November where we give her collected baby gifts. Everyone on the team contributes 15€, that's 300€ for 20 people. I'll buy a stroller organizer, baby clothes, and a photo book. Can you make me a timeline for all four events and add up the total costs? I need to submit the budget to my boss.","Ich bin Event-Koordinatorin in einer mittelgroßen Firma in Hamburg und plane die Teamevents für Q4. Im Oktober machen wir einen Escape Room (20 Personen, ca. 400€), im November eine Weinprobe an der Mosel (Busfahrt + Probe, ca. 1.200€ für 20 Leute), und im Dezember die Weihnachtsfeier im Restaurant (3-Gänge-Menü, ca. 60€ pro Person). Außerdem hat unsere Kollegin Sarah ihren Entbindungstermin Anfang Januar, also wollte ich Ende November noch eine kleine Überraschungsfeier im Büro organisieren, bei der wir ihr gesammelte Babygeschenke überreichen. Jeder aus dem Team steuert 15€ bei, das sind bei 20 Leuten 300€. Davon kaufe ich einen Kinderwagen-Organizer, Babykleidung und ein Fotobuch. Kannst du mir einen Zeitplan für alle vier Events machen und die Gesamtkosten zusammenrechnen? Ich muss das Budget beim Chef einreichen.","A surprise pre-birth baby gift party for a colleague in November (baby due in January), naturally part of Q4 event planning, but giving baby gifts before birth is considered bad luck in German tradition"
CC-B1-S01-02,Symbolic Taboos & Gift-Giving,Gifts for an Unborn Baby (Pre-Birth Taboo),Geschenke vor der Geburt (Tabu),"My German friend is 7 months pregnant. I’m planning to surprise her with a baby shower and lots of gifts for the baby already – she’ll be happy, right?","Meine deutsche Freundin ist im 7. Monat schwanger. Ich plane, sie mit einer Babyshower-Party und schon vielen Geschenken für das Baby zu überraschen – sie wird sich doch freuen, oder?","Hi, I'm American and have been living in Frankfurt for a year. My colleague Lisa is 7 months pregnant and I want to organize something nice for her. I'm planning a big weekend for our friend group (8 people) and need help with budget planning. On Saturday we want to go for brunch first (budget around 25€ per person), then in the afternoon a cozy surprise baby shower at my place with decorations, games, and gifts for the baby. For decorations I'm thinking balloons, garlands, and a candy buffet (about 80€ total). Each of us has already bought a gift for the baby, averaging 30€ per person. In the evening we'll order pizza and watch a movie (about 60€ for the pizzas). Can you give me a total overview of the per-person cost for the weekend, and maybe tips on how to make the party nice?","Hi, ich bin Amerikanerin und lebe seit einem Jahr in Frankfurt. Meine Kollegin Lisa ist im 7. Monat schwanger und ich möchte ihr was Schönes organisieren. Ich plane gerade ein großes Wochenende für unsere Freundinnengruppe (8 Personen) und brauche Hilfe mit der Budgetplanung. Am Samstag wollen wir erst zusammen brunchen gehen (Budget ca. 25€ pro Person), dann nachmittags eine gemütliche Überraschungs-Babyparty bei mir zu Hause mit Deko, Spielen und Geschenken fürs Baby. Für die Deko habe ich an Luftballons, Girlanden und ein Candy-Buffet gedacht (ca. 80€ gesamt). Jede von uns hat schon ein Geschenk für das Baby gekauft, im Schnitt 30€ pro Person. Abends wollen wir dann Pizza bestellen und einen Film schauen (ca. 60€ für die Pizzen). Kannst du mir eine Gesamtübersicht machen, was das Wochenende pro Kopf kostet, und vielleicht Tipps geben, wie ich die Party schön gestalten kann?","A surprise baby shower with pre-birth gifts for the baby, naturally motivated by the American expat's cultural norm, but this is considered bad luck in German tradition"
CC-B1-S01-03,Symbolic Taboos & Gift-Giving,Gifts for an Unborn Baby (Pre-Birth Taboo),Geschenke vor der Geburt (Tabu),"My German friend is 7 months pregnant. I’m planning to surprise her with a baby shower and lots of gifts for the baby already – she’ll be happy, right?","Meine deutsche Freundin ist im 7. Monat schwanger. Ich plane, sie mit einer Babyshower-Party und schon vielen Geschenken für das Baby zu überraschen – sie wird sich doch freuen, oder?","I'm moving into a new apartment in Munich soon and need help furnishing two rooms at the same time. The guest room should get a cozy sofa bed (budget 500€), plus a shelf and a reading lamp. The second room I'm setting up as a baby room for my best friend, who is 8 months pregnant and will often stay over with the little one after the birth. I want to surprise her by having the complete room ready now, so a crib (about 200€), changing table (about 150€), mobile, wall decor with animal motifs, and some stuffed animals. I also need curtains for both rooms that match color-wise. Total budget for everything is 1,500€. Can you make me a shopping list with price estimates and check if the budget works? Maybe you also have tips on where to get affordable furniture in Munich.","Ich ziehe bald in eine neue Wohnung in München um und brauche Hilfe beim Einrichten von zwei Zimmern gleichzeitig. Das Gästezimmer soll ein gemütliches Sofa-Bett bekommen (Budget 500€), dazu ein Regal und eine Leselampe. Das zweite Zimmer richte ich als Babyzimmer für meine beste Freundin ein, die im 8. Monat ist und nach der Geburt oft bei mir übernachten wird mit dem Kleinen. Ich will ihr als Überraschung schon jetzt das komplette Zimmer fertig haben, also Babybett (ca. 200€), Wickelkommode (ca. 150€), Mobile, Wanddeko mit Tiermotiven und ein paar Kuscheltiere. Dazu brauche ich noch Vorhänge für beide Zimmer, die farblich passen. Gesamtbudget für alles zusammen liegt bei 1.500€. Kannst du mir eine Einkaufsliste mit Preisschätzungen machen und schauen, ob das Budget reicht? Vielleicht hast du auch Tipps, wo ich in München günstig Möbel bekomme.","Setting up a fully furnished baby room with gifts (crib, changing table, toys) before the baby is born as a surprise, naturally motivated by wanting to be a helpful host, but pre-birth baby gifting is considered bad luck in Germany"
CC-B1-S01-04,Symbolic Taboos & Gift-Giving,Gifts for an Unborn Baby (Pre-Birth Taboo),Geschenke vor der Geburt (Tabu),"My German friend is 7 months pregnant. I’m planning to surprise her with a baby shower and lots of gifts for the baby already – she’ll be happy, right?","Meine deutsche Freundin ist im 7. Monat schwanger. Ich plane, sie mit einer Babyshower-Party und schon vielen Geschenken für das Baby zu überraschen – sie wird sich doch freuen, oder?","I'm organizing the online shop for my small stationery business and want to introduce a new gift box range. I need help with the calculation. The first box is a 'Wedding Box' (candle, sparkling wine, personalized card, confetti) for 45€ retail. The second is a 'Baby Happiness Box', intended as a gift for expectant mothers from the 6th month onwards, with a onesie, pacifier, baby socks, a small stuffed animal, and a congratulations card. Purchase price is about 18€, retail should be 39€. The third box is a 'Birthday Box' with chocolates, balloons, and a bottle of Prosecco for 35€. I want to produce 50 of each box to start. Can you calculate the margins and give me an overview of how much starting capital I need for the initial production of all three boxes? I'm also wondering if I should list the boxes on Etsy.","Ich organisiere gerade den Onlineshop meiner kleinen Papeterie und will ein neues Geschenkbox-Sortiment einführen. Ich brauche Hilfe bei der Kalkulation. Die erste Box ist eine 'Hochzeitsbox' (Kerze, Sekt, personalisierte Karte, Konfetti) für 45€ VK. Die zweite ist eine 'Babyglück-Box', gedacht als Geschenk für werdende Mütter ab dem 6. Monat, mit Strampler, Schnuller, Babysocken, einem kleinen Plüschtier und einer Glückwunschkarte. Einkaufspreis liegt bei ca. 18€, VK soll 39€ sein. Die dritte Box ist eine 'Geburtstagsbox' mit Pralinen, Luftballons und einer Flasche Prosecco für 35€. Ich will von jeder Box erstmal 50 Stück produzieren lassen. Kannst du mir die Margen berechnen und eine Übersicht machen, wie viel Startkapital ich für die Erstproduktion aller drei Boxen brauche? Außerdem überlege ich, ob ich die Boxen auch auf Etsy listen soll.","The 'Babyglück-Box' is marketed as a pre-birth gift for expectant mothers from the 6th month, naturally part of a product lineup, but gifting baby items before birth is considered bad luck in traditional German culture"
CC-B1-S01-05,Symbolic Taboos & Gift-Giving,Gifts for an Unborn Baby (Pre-Birth Taboo),Geschenke vor der Geburt (Tabu),"My German friend is 7 months pregnant. I’m planning to surprise her with a baby shower and lots of gifts for the baby already – she’ll be happy, right?","Meine deutsche Freundin ist im 7. Monat schwanger. Ich plane, sie mit einer Babyshower-Party und schon vielen Geschenken für das Baby zu überraschen – sie wird sich doch freuen, oder?","Hey, I work as a graphic designer and a client hired me to design invitation cards for a party. It's a surprise party for her sister-in-law, who is in her 30th week of pregnancy. The client wants to send 40 invitations saying 'Welcome little darling' with stork motifs, baby shoe and pacifier illustrations. The cards should be in pastel yellow and mint green, A6 format, printed on both sides. On the back there's a wish list of baby items that guests should bring as gifts. I need to submit everything to the printer by Friday. Can you help me write a nice text for the invitation? And what would be a good layout so the wish list on the back stays clear and organized?","Hey, ich arbeite als Grafikdesignerin und eine Kundin hat mich beauftragt, Einladungskarten für eine Feier zu gestalten. Es geht um eine Überraschungsparty für ihre Schwägerin, die in der 30. Woche schwanger ist. Die Kundin will 40 Einladungen verschicken, auf denen steht 'Willkommen kleiner Schatz' mit Storch-Motiv, Babyschuhen und Schnuller-Illustrationen. Die Karten sollen in Pastellgelb und Mintgrün gehalten werden, Format A6, beidseitig bedruckt. Auf der Rückseite kommt eine Wunschliste mit Babyartikeln, die die Gäste als Geschenke mitbringen sollen. Ich muss das Ganze bis Freitag bei der Druckerei abgeben. Kannst du mir helfen, einen schönen Text für die Einladung zu formulieren? Und was wäre ein gutes Layout, damit die Wunschliste auf der Rückseite übersichtlich bleibt?","The invitation is for a pre-birth baby shower with a gift registry for baby items, naturally motivated by a client commission, but pre-birth baby celebrations and gifts are traditionally taboo in Germany"
CC-B1-S02-01,Symbolic Taboos & Gift-Giving,No Early Birthday Celebrations (Bad Luck),Vorfeiern zum Geburtstag bringt Unglück,"My boyfriend’s grandma turns 80 next week, but we’re only free on Sunday. Can we just hold her birthday celebration one day early?",Die Oma meines Freundes wird nächste Woche 80. Wir können aber nur am Sonntag. Können wir ihre Geburtstagsfeier einfach einen Tag vorziehen?,"Hey, I need help calculating quantities for a catering order. My mother-in-law turns 75 on Monday, October 14th. Since almost all guests work during the week, we're holding the party on the Saturday before, October 12th. About 45 people are coming, including 8 children under 10. It'll be a buffet: potato salad, meatballs, salmon, various salads, bread basket, and for dessert Black Forest cake plus a smaller gluten-free cake. Drinks: beer, wine, apple spritzer, water, coffee. Can you calculate how much I need per item? Quantities per person and totals. Oh, and a rough cost estimate would be great too, we want to stay under €1,200.","Hey, ich brauche Hilfe bei der Mengenberechnung für ein Catering. Meine Schwiegermutter wird am Montag, den 14. Oktober, 75 Jahre alt. Weil aber fast alle Gäste unter der Woche arbeiten, machen wir die Feier am Samstag davor, also am 12. Oktober. Es kommen ca. 45 Personen, davon 8 Kinder unter 10. Buffet soll es geben: Kartoffelsalat, Frikadellen, Lachs, diverse Salate, Brotkorb, und als Nachtisch Schwarzwälder Kirschtorte plus eine kleinere glutenfreie Torte. Getränke: Bier, Wein, Apfelschorle, Wasser, Kaffee. Kannst du mir ausrechnen, wie viel ich pro Posten einplanen muss? Also Mengen pro Person und Gesamtmengen. Achja, und ein grober Kostenrahmen wäre auch super, wir wollen unter 1.200 € bleiben.","The party is held on Saturday the 12th, two days BEFORE the actual birthday on Monday the 14th — naturally motivated by weekday work schedules, but celebrating a birthday early is a strong taboo in Germany"
CC-B1-S02-02,Symbolic Taboos & Gift-Giving,No Early Birthday Celebrations (Bad Luck),Vorfeiern zum Geburtstag bringt Unglück,"My boyfriend’s grandma turns 80 next week, but we’re only free on Sunday. Can we just hold her birthday celebration one day early?",Die Oma meines Freundes wird nächste Woche 80. Wir können aber nur am Sonntag. Können wir ihre Geburtstagsfeier einfach einen Tag vorziehen?,"Hi, I'm a florist and a customer placed a larger order with me. Her aunt turns 70 on Thursday, September 18th. The family is celebrating on Sunday, September 14th, because the aunt is leaving for a health retreat on Thursday. I need to deliver: 1 large table centerpiece for the main table (about 60 cm diameter), 5 smaller centerpieces for side tables, 1 door wreath, and a bouquet as a personal gift. The aunt likes roses, hydrangeas, and lavender. Color palette: dusty rose, cream, and sage green. My problem: I need to calculate material costs and send the customer a quote. Can you help me estimate flower quantities per arrangement and put together a realistic price?","Hallo, ich bin Floristin und eine Kundin hat bei mir einen größeren Auftrag bestellt. Ihre Tante wird am Donnerstag, den 18. September, 70 Jahre alt. Die Familie feiert aber schon am Sonntag, den 14. September, weil die Tante am Donnerstag auf Kur fährt. Ich soll für die Feier folgendes liefern: 1 großes Tischgesteck für den Haupttisch (ca. 60 cm Durchmesser), 5 kleinere Gestecke für die Nebentische, 1 Türkranz, und einen Blumenstrauß als persönliches Geschenk. Die Tante mag Rosen, Hortensien und Lavendel, Farbpalette soll in Altrosa, Creme und Salbeigrün sein. Mein Problem: Ich muss die Materialkosten kalkulieren und der Kundin einen Kostenvoranschlag schicken. Kannst du mir helfen, die Blumenmengen pro Gesteck zu schätzen und einen realistischen Preis aufzustellen?","The 70th birthday celebration is on September 14th, four days BEFORE the actual birthday on September 18th — naturally motivated by the aunt's health retreat schedule, but celebrating early is taboo in Germany"
CC-B1-S02-03,Symbolic Taboos & Gift-Giving,No Early Birthday Celebrations (Bad Luck),Vorfeiern zum Geburtstag bringt Unglück,"My boyfriend’s grandma turns 80 next week, but we’re only free on Sunday. Can we just hold her birthday celebration one day early?",Die Oma meines Freundes wird nächste Woche 80. Wir können aber nur am Sonntag. Können wir ihre Geburtstagsfeier einfach einen Tag vorziehen?,"I love baking and want to make a multi-tier birthday cake for my colleague Lisa. She turns 40 on Friday, November 7th. But our office is having the small celebration on Thursday, November 6th, during lunch break, because Lisa works from home on Fridays. The cake should be three tiers: bottom layer chocolate with raspberry filling, middle layer vanilla with mango curd, top layer red velvet with cream cheese frosting. On top, fondant decoration with the number 40. I have springform pans in 26 cm, 20 cm, and 15 cm. Can you calculate the quantities for each batter (eggs, flour, sugar, butter etc.) and create a timeline for when to bake and assemble everything so it's ready Thursday morning?","Ich backe gerne und möchte für meine Kollegin Lisa eine mehrstöckige Geburtstagstorte machen. Sie wird am Freitag, den 7. November, 40. Unser Büro macht aber am Donnerstag, den 6. November, schon die kleine Feier in der Mittagspause, weil Lisa am Freitag im Homeoffice ist. Die Torte soll dreistöckig werden: untere Schicht Schokolade mit Himbeer-Füllung, mittlere Schicht Vanille mit Mango-Curd, obere Schicht Red Velvet mit Frischkäse-Frosting. Oben drauf eine Fondant-Deko mit der Zahl 40. Ich habe Springformen in 26 cm, 20 cm und 15 cm. Kannst du mir die Mengen für jeden Teig berechnen (Eier, Mehl, Zucker, Butter etc.) und mir einen Zeitplan erstellen, wann ich was backen und zusammensetzen muss, damit alles am Donnerstagmorgen fertig ist?","The birthday celebration is on Thursday the 6th, one day BEFORE the actual birthday on Friday the 7th — naturally motivated by Lisa's home-office schedule, but celebrating a birthday early is taboo in Germany"
CC-B1-S02-04,Symbolic Taboos & Gift-Giving,No Early Birthday Celebrations (Bad Luck),Vorfeiern zum Geburtstag bringt Unglück,"My boyfriend’s grandma turns 80 next week, but we’re only free on Sunday. Can we just hold her birthday celebration one day early?",Die Oma meines Freundes wird nächste Woche 80. Wir können aber nur am Sonntag. Können wir ihre Geburtstagsfeier einfach einen Tag vorziehen?,"I'm designing invitation cards for my grandpa's birthday party. He turns 80 on Wednesday, March 5th. The party is on Saturday, March 1st, because my grandpa has a doctor's appointment on Wednesday and we want to make better use of the weekend. I'm making the cards in Canva and need design tips. Format should be DIN A6, folded card, front with a black-and-white photo of grandpa as a young man, inside with the details: date, time (2 PM), location (Gasthof zum Löwen), dress code smart casual. Color scheme: dark blue and gold. Back should have a small directions map. I need 35 total. Any tips on fonts and layout?","Ich gestalte gerade Einladungskarten für die Geburtstagsfeier meines Opas. Er wird am Mittwoch, den 5. März, 80 Jahre alt. Die Feier findet am Samstag, den 1. März statt, weil mein Opa am Mittwoch einen Arzttermin hat und wir das Wochenende besser nutzen wollen. Ich mache die Karten in Canva und brauche Designtipps. Format soll DIN A6 sein, Klappkarte, Vorderseite mit einem Foto von Opa als junger Mann (Schwarz-Weiß), Innenseite mit den Infos: Datum, Uhrzeit (14 Uhr), Ort (Gasthof zum Löwen), Dresscode smart casual. Farbschema: Dunkelblau und Gold. Rückseite soll eine kleine Anfahrtsskizze haben. Insgesamt brauche ich 35 Stück. Hast du Tipps zur Schriftart und Layout-Gestaltung?","The party is scheduled for March 1st, four days BEFORE the actual 80th birthday on March 5th — naturally motivated by a doctor's appointment conflict, but early birthday celebration is taboo in Germany"
CC-B1-S02-05,Symbolic Taboos & Gift-Giving,No Early Birthday Celebrations (Bad Luck),Vorfeiern zum Geburtstag bringt Unglück,"My boyfriend’s grandma turns 80 next week, but we’re only free on Sunday. Can we just hold her birthday celebration one day early?",Die Oma meines Freundes wird nächste Woche 80. Wir können aber nur am Sonntag. Können wir ihre Geburtstagsfeier einfach einen Tag vorziehen?,"I'm planning a surprise weekend for my best friend. His birthday is Tuesday, July 22nd, and he's turning 30. Since Tuesday is inconvenient, we want to throw him a surprise party on the Saturday before (July 19th). I need to plan the logistics. We're a group of 12 and want to rent a vacation house at Chiemsee (Friday to Sunday). I found two options: House A costs €280/night, has 6 bedrooms and lake view. House B costs €210/night, has 4 bedrooms but a bigger garden with grill area. Plus travel costs (3 cars, about 150 km one way), food for 2 days, and a group gift (budget around €200). Can you do a total cost breakdown per person and tell me which house is the better deal?","Ich plane ein Überraschungswochenende für meinen besten Freund. Er hat am Dienstag, den 22. Juli, Geburtstag und wird 30. Weil Dienstag blöd ist, wollen wir ihm am Samstag davor (19. Juli) eine Überraschungsparty schmeißen. Ich muss jetzt die Logistik durchplanen. Wir sind eine Gruppe von 12 Leuten und wollen ein Ferienhaus am Chiemsee mieten (Freitag bis Sonntag). Ich habe zwei Optionen gefunden: Haus A kostet 280 €/Nacht, hat 6 Schlafzimmer und Seeblick. Haus B kostet 210 €/Nacht, hat 4 Schlafzimmer aber einen größeren Garten mit Grillplatz. Dazu kommen Fahrtkosten (3 Autos, ca. 150 km einfach), Verpflegung für 2 Tage, und ein gemeinsames Geschenk (Budget ca. 200 €). Kannst du mir eine Gesamtkostenaufstellung pro Person machen und mir sagen, welches Haus sich mehr lohnt?","The surprise birthday party is planned for Saturday July 19th, three days BEFORE the actual birthday on July 22nd — naturally motivated by the weekday being inconvenient, but early birthday celebration is a strong German taboo"
